,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,q,alpha,lambda,s
10,463.79,484.83,304.92,215.14,157.69,392.83,208.46,210.74,331.0,440.7,0.0,672.94,258.37,315.16,80.62,446.79,407.54,290.37,167.3,573.47,607.56,445.59,506.87,511.81,577.21,1.41,354.11,527.59,75.45,324.24,688.17,697.35,585.72,797.74,274.87,545.3,321.7,221.08,445.09,29.21,173.35,0.0,15.0,1.0,98.0
11,289.7,843.78,960.8,483.01,687.14,460.93,803.13,883.13,355.71,940.38,672.94,0.0,486.58,895.66,615.23,560.92,949.08,384.34,603.24,131.89,617.42,234.25,625.98,166.86,381.32,671.75,545.31,334.55,647.64,896.91,85.38,402.08,332.93,357.62,400.13,527.91,897.57,805.03,468.8,646.8,508.26,0.0,10.0,1.0,25.0
12,224.18,404.59,560.02,235.92,206.17,138.71,458.03,440.7,246.47,462.22,258.37,486.58,0.0,409.44,253.33,223.08,464.49,191.6,123.49,425.33,380.01,304.65,299.3,354.3,318.92,256.96,436.38,478.86,284.9,573.84,477.29,439.12,329.8,544.18,187.3,302.06,571.99,468.19,472.33,229.63,202.0,0.0,14.0,1.0,86.0
13,626.34,284.7,386.25,512.27,213.22,479.1,437.87,238.42,603.35,149.63,315.16,895.66,409.44,0.0,394.37,451.69,97.94,550.87,294.63,824.51,574.09,697.09,464.4,755.09,665.66,315.24,669.27,824.67,388.93,522.15,885.14,775.48,695.69,905.68,538.28,560.43,517.61,453.65,757.49,321.6,464.01,0.0,12.0,1.0,46.0
14,432.53,543.89,346.78,141.01,218.69,392.04,210.28,279.3,264.2,515.1,80.62,615.23,253.33,394.37,0.0,464.46,485.13,231.2,198.57,508.49,625.56,383.24,532.23,450.63,563.57,80.26,275.78,449.23,34.83,323.8,638.09,682.22,565.32,771.55,215.39,553.81,322.42,218.49,364.54,74.65,107.0,0.0,10.0,1.0,27.0
15,275.41,292.41,722.49,458.02,325.41,116.21,655.15,580.18,444.0,428.67,446.79,560.92,223.08,451.69,464.46,0.0,460.84,395.64,279.83,549.86,161.4,457.8,80.23,482.97,229.05,445.49,657.05,661.66,492.14,771.02,517.37,327.33,270.07,463.49,396.17,110.42,768.46,667.37,682.13,421.71,425.03,0.0,9.0,1.0,17.0
16,669.65,234.23,474.89,595.58,287.14,510.35,535.62,332.24,677.56,63.57,407.54,949.08,464.49,97.94,485.13,460.84,0.0,623.28,361.23,888.0,560.82,763.11,456.43,817.44,685.76,407.49,760.87,904.23,482.33,617.76,930.79,788.13,720.89,923.69,611.85,563.87,613.14,551.38,845.24,411.1,546.7,0.0,15.0,1.0,97.0
17,237.07,594.25,577.7,110.32,338.25,285.55,427.98,501.1,56.08,632.51,290.37,384.34,191.6,550.87,231.2,395.64,623.28,0.0,262.55,284.03,537.26,155.39,475.61,221.47,397.25,289.25,274.05,289.66,264.25,531.5,408.37,505.15,383.16,569.65,15.81,446.22,531.3,432.23,286.5,265.68,124.62,0.0,14.0,1.0,74.0
18,347.67,357.24,451.63,253.65,84.05,237.93,375.76,322.37,317.53,370.6,167.3,603.24,123.49,294.63,198.57,279.83,361.23,262.55,0.0,530.07,440.32,403.29,340.04,460.49,430.22,166.03,446.0,547.9,220.33,491.37,598.87,549.74,446.93,662.33,251.79,380.76,488.75,388.33,508.7,143.61,206.12,0.0,14.0,1.0,81.0
19,277.89,813.34,849.19,370.42,611.72,437.92,685.29,783.95,244.3,887.54,573.47,131.89,425.33,824.51,508.49,549.86,888.0,284.03,530.07,0.0,638.49,129.19,623.73,71.18,416.54,572.4,414.24,208.41,538.93,774.15,200.77,470.49,374.2,458.96,299.14,543.11,775.1,685.97,337.36,549.48,402.37,0.0,13.0,1.0,62.0
20,363.94,346.45,876.62,611.0,479.54,252.72,816.02,730.27,580.13,515.19,607.56,617.42,380.01,574.09,625.56,161.4,560.82,537.26,440.32,638.49,0.0,569.51,111.07,579.17,237.39,606.27,806.61,781.22,653.5,931.7,555.53,277.95,286.74,417.26,540.34,96.61,929.06,828.4,820.76,582.84,581.38,0.0,13.0,1.0,59.0
21,209.8,702.8,727.35,248.85,483.98,341.88,568.97,656.3,121.46,765.57,445.59,234.25,304.65,697.09,383.24,457.8,763.11,155.39,403.29,129.19,569.51,0.0,535.94,67.68,373.84,444.49,335.7,212.92,414.85,664.42,273.01,456.75,342.05,484.11,170.75,472.97,664.9,571.11,290.37,421.07,276.37,0.0,10.0,1.0,23.0
22,346.67,256.63,768.04,535.14,372.08,195.62,714.93,620.44,524.22,414.89,506.87,625.98,299.3,464.4,532.23,80.23,456.43,475.61,340.04,623.73,111.07,535.94,0.0,558.23,269.0,505.63,735.05,741.23,557.97,829.79,576.03,346.32,315.6,487.08,475.85,118.15,826.94,727.88,762.11,483.63,500.3,0.0,13.0,1.0,62.0
23,215.52,742.88,795.02,316.48,542.7,369.64,636.27,722.54,189.04,816.48,511.81,166.86,354.3,755.09,450.63,482.97,817.44,221.47,460.49,71.18,579.17,67.68,558.23,0.0,365.92,510.68,390.75,226.02,482.41,730.62,211.62,433.66,327.57,442.74,237.07,482.96,731.19,638.19,331.16,486.79,343.68,0.0,13.0,1.0,66.0
24,168.15,518.51,878.26,497.11,501.17,193.98,772.82,752.43,423.18,656.84,577.21,381.32,318.92,665.66,563.57,229.05,685.76,397.25,430.22,416.54,237.39,373.84,269.0,365.92,0.0,575.8,668.37,584.87,597.22,887.33,318.21,120.22,49.41,240.03,406.38,155.35,885.86,781.84,654.28,548.34,484.85,0.0,11.0,1.0,35.0
25,462.41,484.11,306.32,214.36,156.89,391.43,209.75,211.86,330.0,440.47,1.41,671.75,256.96,315.24,80.26,445.49,407.49,289.25,166.03,572.4,606.27,444.49,505.63,510.68,575.8,0.0,354.03,526.93,75.72,325.54,686.9,695.94,584.31,796.33,273.76,543.95,323.01,222.34,444.78,27.8,172.42,0.0,12.0,1.0,53.0
26,503.04,803.2,516.5,201.11,488.6,553.93,337.38,517.12,246.29,790.11,354.11,545.31,436.38,669.27,275.78,657.05,760.87,274.05,446.0,414.24,806.61,335.7,735.05,390.75,668.37,354.03,0.0,252.98,281.28,392.26,602.03,770.77,649.47,816.63,268.15,718.06,394.59,330.95,114.0,350.14,242.71,0.0,9.0,1.0,18.0
27,422.66,883.18,753.27,314.4,617.1,545.63,576.39,724.58,233.62,918.32,527.59,334.55,478.86,824.67,449.23,661.66,904.23,289.66,547.9,208.41,781.22,212.92,741.23,226.02,584.87,526.93,252.98,0.0,470.49,643.32,408.95,659.33,550.1,663.93,297.83,684.87,645.37,572.65,148.72,511.5,361.37,0.0,14.0,1.0,87.0
28,467.31,556.12,313.46,169.19,228.63,423.51,175.93,254.42,294.81,516.14,75.45,647.64,284.9,388.93,34.83,492.14,482.33,264.25,220.33,538.93,653.5,414.85,557.97,482.41,597.22,75.72,281.28,470.49,0.0,290.17,671.86,716.12,599.62,806.25,248.47,583.85,288.65,184.61,377.03,82.46,139.65,0.0,11.0,1.0,32.0
29,752.84,770.01,176.78,422.04,464.61,711.84,116.28,286.23,544.72,671.51,324.24,896.91,573.84,522.15,323.8,771.02,617.76,531.5,491.37,774.15,931.7,664.42,829.79,730.62,887.33,325.54,392.26,643.32,290.17,0.0,934.99,1006.0,888.65,1092.35,516.76,868.57,5.0,105.69,505.2,349.91,413.69,0.0,12.0,1.0,43.0
30,261.2,806.78,984.79,514.34,682.7,427.79,835.42,895.48,390.37,916.55,688.17,85.38,477.29,885.14,638.09,517.37,930.79,408.37,598.87,200.77,555.53,273.01,576.03,211.62,318.21,686.9,602.03,408.95,671.86,934.99,0.0,323.45,268.82,272.24,423.99,470.7,935.23,838.82,535.26,660.6,532.63,0.0,13.0,1.0,61.0
31,268.61,602.9,998.43,609.11,619.07,312.41,891.92,871.64,524.51,754.07,697.35,402.08,439.12,775.48,682.22,327.33,788.13,505.15,549.74,470.49,277.95,456.75,346.32,433.66,120.22,695.94,770.77,659.33,716.12,1006.0,323.45,0.0,122.0,141.13,515.69,228.97,1004.63,900.66,745.43,668.45,600.25,0.0,15.0,1.0,95.0
32,146.73,561.73,889.35,487.54,521.9,217.61,775.54,768.9,403.18,694.74,585.72,332.93,329.8,695.69,565.32,270.07,720.89,383.16,446.93,374.2,286.74,342.05,315.6,327.57,49.41,584.31,649.47,550.1,599.62,888.65,268.82,122.0,0.0,215.45,393.78,203.93,887.45,783.72,627.78,556.58,480.1,0.0,10.0,1.0,23.0
33,339.52,743.49,1102.3,679.04,737.14,431.35,981.47,984.11,576.08,891.9,797.74,357.62,544.18,905.68,771.55,463.49,923.69,569.65,662.33,458.96,417.26,484.11,487.08,442.74,240.03,796.33,816.63,663.93,806.25,1092.35,272.24,141.13,215.45,0.0,582.6,369.3,1091.49,988.62,772.23,768.53,679.31,0.0,9.0,1.0,15.0
34,248.29,587.8,561.91,96.54,326.09,287.93,412.7,485.6,65.76,622.23,274.87,400.13,187.3,538.28,215.39,396.17,611.85,15.81,251.79,299.14,540.34,170.75,475.85,237.07,406.38,273.76,268.15,297.83,248.47,516.76,423.99,515.69,393.78,582.6,0.0,450.36,516.51,417.1,286.9,250.39,108.85,0.0,12.0,1.0,52.0
35,267.56,374.19,828.84,525.84,433.11,166.6,752.3,688.75,486.97,526.8,545.3,527.91,302.06,560.43,553.81,110.42,563.87,446.22,380.76,543.11,96.61,472.97,118.15,482.96,155.35,543.95,718.06,684.87,583.85,868.57,470.7,228.97,203.93,369.3,450.36,0.0,866.28,763.73,727.47,518.77,499.77,0.0,12.0,1.0,53.0
36,751.97,766.03,171.84,422.0,461.31,709.88,114.13,281.51,545.03,666.99,321.7,897.57,571.99,517.61,322.42,768.46,613.14,531.3,488.75,775.1,929.06,664.9,826.94,731.19,885.86,323.01,394.59,645.37,288.65,5.0,935.23,1004.63,887.45,1091.49,516.51,866.28,0.0,104.04,507.68,347.56,413.07,0.0,15.0,1.0,97.0
37,649.14,683.06,186.32,324.48,367.87,606.29,15.81,233.03,450.06,600.2,221.08,805.03,468.19,453.65,218.49,667.37,551.38,432.23,388.33,685.97,828.4,571.11,727.88,638.19,781.84,222.34,330.95,572.65,184.61,105.69,838.82,900.66,783.72,988.62,417.1,763.73,104.04,0.0,444.65,245.69,311.64,0.0,13.0,1.0,70.0
38,486.15,862.57,629.77,255.22,563.69,570.98,450.69,622.76,240.63,868.83,445.09,468.8,472.33,757.49,364.54,682.13,845.24,286.5,508.7,337.36,820.76,290.37,762.11,331.16,654.28,444.78,114.0,148.72,377.03,505.2,535.26,745.43,627.78,772.23,286.9,727.47,507.68,444.65,0.0,435.93,303.65,0.0,11.0,1.0,32.0
39,434.72,473.78,334.1,197.34,146.54,364.8,233.73,236.32,308.47,440.45,29.21,646.8,229.63,321.6,74.65,421.71,411.1,265.68,143.61,549.48,582.84,421.07,483.63,486.79,548.34,27.8,350.14,511.5,82.46,349.91,660.6,668.45,556.58,768.53,250.39,518.77,347.56,245.69,435.93,0.0,152.78,0.0,10.0,1.0,27.0
40,340.2,562.69,453.11,49.04,261.46,333.26,306.2,382.33,158.46,566.62,173.35,508.26,202.0,464.01,107.0,425.03,546.7,124.62,206.12,402.37,581.38,276.37,500.3,343.68,484.85,172.42,242.71,361.37,139.65,413.69,532.63,600.25,480.1,679.31,108.85,499.77,413.07,311.64,303.65,152.78,0.0,0.0,11.0,1.0,42.0
